variant	pivot_date	model	location	mae	mse	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency	converged
29	2054-04-01	FGA	south	0.2107474752668686	0.04466279320828828	5.230715480078602	0.04029037252542394	0.9000622830760001	-74.60017948110253	18	321.0	320.93546808469165	0.3362654451189923	0.30867151328503595	0.6470588235294118	0.3329673426711874	False
28	2054-10-01	FGA	south	0.06690213804755576	0.004593099913997222	2.0865774605238046	0.03206309821383816	-0.9347359978365577	-450.60300634777496	7	207.0	206.97790531510185	0.6503895551475535	0.6418568815443828	0.6956521739130435	0.6660555682976851	False
29	2054-10-01	FGA	south	0.22970630954407625	0.05345904757238314	5.056116921867469	0.04543136820088302	-0.9975134596667969	-219.96889163541786	7	112.0	111.72213120784332	0.39384176056713815	0.35088737377281304	0.6470588235294118	0.3716750530789124	False
0	2025-10-01	FGA	tropics	0.0018134885275195032	4.40173946254668e-06	0.16240589244857506	0.01116639612133368	-1.0	-1.2356495909698397	2	23.0	22.82636623753792	1.0	1.0	1.0	1.0	True
1	2025-10-01	FGA	tropics	0.00713234769070226	6.038881836041033e-05	0.22475923373412426	0.03173327997344647	0.6355624659609278	-1.948036268785705	13	533.0	532.8659909391245	0.9237685785915742	0.895635993051375	1.0	1.0	True
1	2026-04-01	FGA	tropics	0.18127954019264464	0.0336121306873289	5.995190337936628	0.030237495387850494	-0.6081662594221521	-72.10673266136905	37	2448.0	2447.899740277056	0.9633074350138573	0.9459176696726415	1.0	1.0	False
1	2026-10-01	FGA	tropics	0.0653287656797592	0.004447234517680258	2.374981648000732	0.02750706125866412	-0.09232302402557374	-34.17355700341114	22	1719.0	1719.0302381176384	0.9856042930573884	0.985775266246137	1.0	0.998426575225266	False
3	2027-04-01	FGA	tropics	0.15638052996859605	0.02456614574832051	5.543061813652727	0.028211940480877575	-0.7730988296908464	-944.6109782936245	6	72.0	71.92421969789676	0.7309430085165379	0.6887042165077565	1.0	0.7163849080368053	False
3	2027-10-01	FGA	tropics	0.17807046643111502	0.036645944389436996	6.002610280704162	0.029665505189223396	0.9378160466950343	-153.00939115208482	32	1486.0	1485.8249261572748	0.6204851336021138	0.6054408883601308	1.0	0.7110900824646939	False
4	2027-10-01	FGA	tropics	0.06422412090944271	0.004270372361851343	1.9094452694560224	0.03363496295850332	0.34345826360814313	-25.177125613256617	20	966.0	965.712399266245	0.41702886012236295	0.4063064441212131	0.6632653061224489	0.6600881288195913	False
3	2028-04-01	FGA	tropics	0.18204204514395023	0.033207335127878	7.061806645600297	0.0257783955692652	0.8563850269557965	-139.27691494579204	31	1516.0	1515.925528663309	0.5262819382369024	0.5235092321949012	0.8088235294117647	0.7397390211296019	False
4	2028-04-01	FGA	tropics	0.2099314594295236	0.04421476509999865	6.062366415170425	0.03462863262507402	0.8790001154329694	-156.30514765556165	35	1411.0	1410.8615485342946	0.5750724107708984	0.5603257610507774	0.9473684210526315	0.7932875826258848	False
3	2028-10-01	FGA	tropics	0.16145435526176785	0.02607724109095731	5.352007912641244	0.03016706213763598	0.07140166443294316	-68709.02363542432	5	79.0	79.04216202174534	0.29445102872356743	0.275487858318638	0.4186046511627907	0.3210732057072978	False
4	2028-10-01	FGA	tropics	0.07575192221416559	0.005809437640020065	3.721885880491626	0.02035310180014425	-0.6895737666838091	-391.9064173982311	14	356.0	355.8074598497288	0.7772421155415786	0.7378925326250305	0.9473684210526315	0.7653848361537626	False
5	2028-10-01	FGA	tropics	0.17865990961415368	0.03244677824706568	2.814195968008699	0.06348524112930624	-0.350789677056337	-83.11943893871693	8	189.0	188.96297972416312	0.3222615180359185	0.33544305683133785	0.45652173913043476	0.34679282551402385	False
6	2028-10-01	FGA	tropics	0.030880906711540507	0.0011850198912108929	0.5931793122393245	0.05205998603518606	-0.14729551539270544	-1.9712504904701782	7	176.0	175.91650470942184	0.2987222881411162	0.2790795661835032	0.4142857142857143	0.3547877504464977	False
7	2028-10-01	FGA	tropics	0.18691675518487116	0.03566645714266646	2.4111018092994434	0.07752337726426438	-0.7116918431389436	-72.5580661627228	5	197.0	196.91094042885283	0.3600063375313696	0.3133353942863675	0.46	0.3498295845691775	False
8	2028-10-01	FGA	tropics	0.3635335099126638	0.1323767133945177	10.199037574248784	0.03564390338462304	-0.13536226859197426	-715.7224850265636	3	43.0	42.89944793326972	0.11919709182867078	0.09431372370628142	0.14912280701754385	0.09655080132376422	False
5	2029-04-01	FGA	tropics	0.029187158546023752	0.001062941468782045	0.4887576551540215	0.05971703611849526	0.760933210638312	-0.7803797365230352	19	488.0	488.0135736318826	0.1964370359413465	0.19277108652775343	0.45652173913043476	0.29722009359847645	False
6	2029-04-01	FGA	tropics	0.04571475107686577	0.007152777951147435	0.8279262208607325	0.055215972057678746	-0.40904109462431515	-13.47839258926356	21	669.0	668.8316820147991	0.19030769035727532	0.18024853491965076	0.4142857142857143	0.35748311707766767	False
7	2029-04-01	FGA	tropics	0.22368770880599453	0.050783060416687655	2.6721521273716733	0.0837106939064931	0.7711234741623856	-44.282870702304685	28	2210.0	2209.183040940592	0.34661901214331997	0.32718458884944374	0.5555555555555556	0.4155210392821448	False
8	2029-04-01	FGA	tropics	0.19611725142998254	0.03866324228216817	3.1473143598260993	0.062312571611314586	0.8875518810983322	-78.04914956921198	29	2559.0	2558.971483951709	0.4533292063585375	0.4459391801125634	0.78125	0.7237165488848493	False
9	2029-04-01	FGA	tropics	0.09020962698844312	0.008331969169015716	3.6643557507639315	0.024618141120614872	-0.5417974910106398	-89.85406172346559	8	155.0	155.01161266828416	0.18881819041014986	0.18326141273281216	0.44871794871794873	0.26455923952990196	False
5	2029-10-01	FGA	tropics	0.05025234389279623	0.002670746730231982	1.8232797063820807	0.027561511114776543	-0.8381480202053273	-30.373908047839997	9	237.0	236.99970925318024	0.09141869975497835	0.09151624225066238	0.14166666666666666	0.1508597789870702	False
6	2029-10-01	FGA	tropics	0.25100201797186356	0.06317150028554643	9.0457982810559	0.027747912364740963	-0.8586170201337078	-743.4847106612707	12	397.0	397.05519881929746	0.1165223554532804	0.10960651305001594	0.20833333333333334	0.1984439475194463	False
7	2029-10-01	FGA	tropics	0.15571595912472325	0.03514477358179876	3.4572853899911395	0.0450399494283931	-0.7291101073969746	-195.5936098736988	21	1832.0	1831.9589775782104	0.3310309635639587	0.31015411889621347	0.5555555555555556	0.5109317670545922	False
8	2029-10-01	FGA	tropics	0.10620605578837446	0.011844013367600182	1.3869208640814619	0.07657686789412692	0.04351107865302864	-20.754771878061295	29	2567.0	2566.859069403363	0.4815044438050403	0.47736411994233285	0.78125	0.6383880771432595	False
9	2029-10-01	FGA	tropics	0.21904164835622503	0.051921784058952425	7.43044302254568	0.02947894865643974	0.7567428615538077	-252.60755204546913	34	2234.0	2234.014022709306	0.7440549792884011	0.7338269724358377	1.0	0.9966642607967321	False
8	2030-04-01	FGA	tropics	0.12064861180129685	0.014557172158754902	5.570009781494847	0.0216603949605485	0.8750287881686153	-3222.907381671048	5	91.0	90.96524528648541	0.21591153453159198	0.23809421814677023	0.3493975903614458	0.30708592677185775	False
