path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_15,15,171790.7641,90000000.0,0.0,89828209.2359,0.5951,1.9766176544662277,240515.3951,3.2697,30.0,1.0,inf,0.25,0.01364,2.8182,1355.0,0.4296131896005073,3154.0,62.0,2.9523809523809526,21.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_16,16,180396.7302,90000000.0,0.0,89819603.2698,0.9376,2.486127751299101,252620.8632,3.9966,30.0,1.0,inf,0.25,0.01365,3.906,1430.0,0.44940289126335636,3182.0,66.0,1.9411764705882353,34.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_23,23,166691.5313,90000000.0,0.0,89833308.4687,0.5856,1.7828705436891403,233476.3497,3.2439,30.0,1.0,inf,0.25,0.01364,2.875,1374.0,0.4378585086042065,3138.0,62.0,1.878787878787879,33.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_22,22,163977.7168,90000000.0,0.0,89836022.2832,0.6577,1.812300397380098,229552.5256,3.5903,30.0,1.0,inf,0.25,0.01367,3.3143,1377.0,0.4365884590995561,3154.0,44.0,6.285714285714286,7.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_24,24,168945.6157,90000000.0,0.0,89831054.3843,1.3728,3.063422115963645,236791.3881,4.7664,30.0,1.0,inf,0.25,0.01356,5.6763,1372.0,0.41702127659574467,3290.0,119.0,1.1333333333333333,105.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_18,18,185873.0058,90000000.0,0.0,89814126.9942,0.9304,2.5639650880862477,260201.5045,3.6761,30.0,1.0,inf,0.25,0.01365,4.0827,1484.0,0.4554941682013505,3258.0,56.0,7.0,8.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_25,25,205332.7986,90000000.0,0.0,89794667.2014,0.8309,2.1944027403646627,287569.4936,3.1898,30.0,1.0,inf,0.25,0.01362,3.1586,1568.0,0.46335697399527187,3384.0,59.0,4.916666666666667,12.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_26,26,169386.9565,90000000.0,0.0,89830613.0435,0.7626,1.9382710990817484,237268.8971,3.5902,30.0,1.0,inf,0.25,0.01361,3.5589,1366.0,0.42888540031397177,3185.0,70.0,2.3333333333333335,30.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_3,3,206752.3018,90000000.0,0.0,89793247.6982,0.7714,2.3546337130942447,289577.7263,3.3127,30.0,1.0,inf,0.25,0.01365,2.9887,1330.0,0.4261454661967318,3121.0,71.0,2.5357142857142856,28.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_4,4,197489.429,90000000.0,0.0,89802510.571,0.8156,2.5713696659436835,276610.0499,3.1117,30.0,1.0,inf,0.25,0.01365,2.8696,1410.0,0.42139868499701133,3346.0,55.0,3.0555555555555554,18.0,False
