strain,tsne_x,tsne_y
6084102c,-25.473440272513912,23.894844363385808
78fef5c0,-25.2906344505251,23.50564037754833
596c7267,-25.240067372626136,23.9828656391395
2216b2f3,-24.627105145395095,24.125211248620896
7e140dd6,-25.26599354333974,23.99972510872139
2b7c608,-24.88092706098938,24.353373983229005
76175841,-25.477356703596232,24.014250050174187
336dee04,-25.249374694393037,24.004088169628318
260dd761,-25.508930807766756,23.82956739830518
291bc4d,-25.235241222787636,23.53835013400139
403301f2,-25.308813321123587,23.48023861032061
747f04b7,-25.1876609594838,23.458031272525464
673554da,-24.93045534087173,23.86226335527237
57a48552,-25.10859600472833,23.532319472191972
4d16f8a3,-25.185353813491282,24.044544989122876
7411315f,-25.25695103070211,23.48301747607654
414fab76,-24.730574319428463,24.256846264597073
49e60904,-25.477667654015875,23.534652612983912
314af962,-24.24117320927154,23.129752344731212
b54522c,-25.6000828148512,24.737883001552948
593d4412,-25.685107560646532,25.006571969145014
516f4642,-25.940056419308256,23.654618588649903
2dc39223,-36.340245674048,13.855669784436982
70262929,-25.80452281258308,23.172609789905216
6447a4a3,-36.720838286284085,12.726689593149839
402b4408,-36.548554004155825,14.481205980802475
23beb25c,-25.701035111280355,22.85136328268213
6cebfc73,-36.67010515712655,12.823837697153026
19043017,-25.67548434301702,22.712763646037867
629b9d24,-36.4517505768559,13.662996946869265
2e9b1e6b,-25.59506137654173,22.62794861941477
d472db7,-36.4828234076148,13.626305328596144
60ac7b20,-25.686321405241646,22.867202133083303
45b334ca,-26.08762126340704,23.373445003378556
272921ab,-36.48629751115993,13.639531813500806
f518659,-27.048214063270276,23.144201878795215
38136210,-27.18549803072944,23.094995833500878
4e0b3cb1,-27.026088889345523,23.122992387937686
37e39e18,-27.161325431275245,23.10043560762786
6d3e7f92,-26.49101280109745,23.261003811414962
34c2ad0f,-36.54675752262629,13.755272631963786
64bd26c5,-24.878668731516765,24.950605556652565
13cd7059,-24.806321514050477,25.190991213424077
2b36b10a,-25.54893848410282,22.40700282059864
1b722041,-25.49418304255785,22.651183917371178
6829f48,-25.383214064213842,24.828227137529353
106b51cd,-25.404419877291314,25.046030041534227
4b22267e,-26.39829814612468,24.464618466629815
35a77be,-26.21180000499169,24.353971931208086
3e601969,-26.287023106014633,24.074124222299137
5317c751,-26.5001732700542,24.136237702665323
145766a5,-37.36849581720802,13.792645428364596
4d34617f,-39.60616668729142,14.248711103975467
4ef1de31,-39.71345951302757,14.288089327492491
6006f2c3,-39.72445311923618,14.266822626239707
8983399,-39.76074088969305,14.295718218373073
79b63af7,-39.78953174472802,14.291540603424595
5aa45807,-37.053810895925224,13.658944880090699
37d90b1c,-37.24075374954039,13.598222133982166
51179a43,-37.240752713352805,13.598221814468232
5844d8b8,-37.238423334640586,13.59640581839765
61a350ba,-37.08894601666739,12.298003906465098
795fdf09,-37.256528903024666,13.542784003096385
535d76c1,-37.40098300503277,14.253999877722894
8eefe21,-38.210100980764274,13.435965954194822
3afb52bf,-37.08852083684485,13.543731535284326
36e8a0d8,-37.539825296864855,14.147422240448373
34fe257e,-37.64778425307572,14.096495982791465
6b48463b,-37.58467268179939,13.539831901149313
3f988a07,-37.34078757975927,13.672566859453577
4a9a5b88,-37.34547320797277,13.727998937194066
7b072092,-38.29163576679992,13.974089214855628
38a45a2d,-37.76351625805205,12.990129481768648
558a9ef2,-37.299410240342425,13.754740550283367
3bd2078c,-37.59346415990573,13.048572012917043
57030b8a,-38.08254124921617,13.53572847201656
669ec48a,-36.93708911043163,12.680858500537436
5f84ac19,-37.080849233087704,13.691426235113205
74f718b2,-37.21736881368124,13.687641662892617
1d03db61,-37.79135301752126,13.101957071548517
4073711d,-37.333572376824335,14.229809071747438
1d1f547e,-37.30787978572078,13.606975620096822
626bb434,-37.10591319136931,13.721499279259445
1661d476,-37.5807425891437,13.086931052885257
17633cb2,-37.06443292496818,13.731247471324336
3d73221e,-37.3325150165498,14.219202139979227
8f439ce,-36.5576237787686,13.559519580122954
7881b61e,-37.53025502909078,14.162180996507907
6c8927d0,-37.080330794227365,12.950199981535402
14ec1d4a,-37.493168887538715,12.795586028779928
34cf44f4,-37.22187717802537,12.934134173695767
6a61aa47,-37.147585304707775,12.929102543293547
45cc87e,-37.76943572370735,13.872002607720574
50663c85,-37.15008447119669,13.400637666084352
7b2c0ee,-36.97303741472099,13.456092947982901
