date	country	variant	sequences
2028-04-30	tropics	20	11
2028-04-30	tropics	27	12
2028-05-07	north	20	6
2028-05-07	tropics	5	1
2028-05-07	tropics	12	1
2028-05-07	tropics	16	1
2028-05-07	tropics	20	9
2028-05-07	tropics	27	14
2028-05-14	north	20	1
2028-05-14	south	20	1
2028-05-14	tropics	5	1
2028-05-14	tropics	16	2
2028-05-14	tropics	20	14
2028-05-14	tropics	27	4
2028-05-21	north	12	1
2028-05-21	north	20	3
2028-05-21	tropics	5	1
2028-05-21	tropics	16	2
2028-05-21	tropics	20	13
2028-05-21	tropics	27	17
2028-05-28	south	27	1
2028-05-28	tropics	5	4
2028-05-28	tropics	16	1
2028-05-28	tropics	20	9
2028-05-28	tropics	27	13
2028-06-04	north	20	2
2028-06-04	south	20	1
2028-06-04	tropics	5	1
2028-06-04	tropics	16	1
2028-06-04	tropics	20	12
2028-06-04	tropics	27	17
2028-06-11	north	20	4
2028-06-11	south	27	1
2028-06-11	tropics	5	2
2028-06-11	tropics	20	13
2028-06-11	tropics	27	13
2028-06-18	north	20	2
2028-06-18	north	27	1
2028-06-18	south	20	1
2028-06-18	south	27	2
2028-06-18	tropics	5	2
2028-06-18	tropics	12	2
2028-06-18	tropics	16	1
2028-06-18	tropics	20	13
2028-06-18	tropics	27	23
2028-06-25	north	20	2
2028-06-25	north	27	1
2028-06-25	south	12	1
2028-06-25	south	27	1
2028-06-25	tropics	5	1
2028-06-25	tropics	12	1
2028-06-25	tropics	20	13
2028-06-25	tropics	27	30
2028-07-02	north	20	2
2028-07-02	tropics	12	1
2028-07-02	tropics	20	12
2028-07-02	tropics	27	31
2028-07-09	north	5	1
2028-07-09	south	12	1
2028-07-09	south	20	2
2028-07-09	tropics	5	6
2028-07-09	tropics	20	13
2028-07-09	tropics	27	38
2028-07-16	north	27	1
2028-07-16	south	27	1
2028-07-16	tropics	5	7
2028-07-16	tropics	20	17
2028-07-16	tropics	27	60
2028-07-23	north	20	2
2028-07-23	south	5	1
