pivot_date	model	location	inference_method	iterations	learning_rate	num_samples	num_iterations	initial_loss	final_loss	min_loss	total_improvement	converged	relative_change	threshold	window	final_iteration
2036-04-01	GARW	north	InferFullRank	50000		500	50000	110178.546875	492.6376953125		109685.90625	True	0.051252543926239014	0.01	100	50000
2036-10-01	GARW	north	InferFullRank	50000		500	50000	209208.921875	1051.75		208157.171875	True	0.0011199226137250662	0.01	100	50000
2037-04-01	GARW	north	InferFullRank	50000		500	50000	587991.625	1111.46337890625		586880.1875	True	0.008577626198530197	0.01	100	50000
2041-04-01	GARW	north	InferFullRank	50000		500	50000	275037.875	552.5825805664062	545.6229248046875	274485.28125	True	0.009789003990590572	0.01	100	50000
2041-10-01	GARW	north	InferFullRank	50000		500	50000	318461.25	850.0012817382812		317611.25	True	0.02199338749051094	0.01	100	50000
2042-10-01	GARW	north	InferFullRank	50000		500	50000	40759.30859375	6351.033203125		34408.2734375	True	0.0010356056736782193	0.01	100	50000
2043-04-01	GARW	north	InferFullRank	50000		500	50000	1397866.625	275.1304931640625		1397591.5	True	0.031244399026036263	0.01	100	50000
2043-10-01	GARW	north	InferFullRank	50000		500	50000	1133238.25	300.02740478515625		1132938.25	True	0.0498514287173748	0.01	100	50000
2045-10-01	GARW	north	InferFullRank	50000		500	50000	25812.388671875	599.3824462890625		25213.005859375	True	0.015607979148626328	0.01	100	50000
2046-04-01	GARW	north	InferFullRank	50000		500	50000	1775272.0	755.8529663085938		1774516.125	True	0.0019206878496333957	0.01	100	50000
2046-10-01	GARW	north	InferFullRank	50000		500	50000	218797.34375				False		0.01	100	50000
2049-10-01	GARW	north	InferFullRank	50000		500	50000	85737.6796875	936.2134399414062		84801.46875	True	0.0006009195349179208	0.01	100	50000
2050-04-01	GARW	north	InferFullRank	50000		500	50000	801330.6875	1161.1204833984375		800169.5625	True	0.004496521316468716	0.01	100	50000
2050-10-01	GARW	north	InferFullRank	50000		500	50000	608774.875	523.3046875		608251.5625	True	0.0042351651936769485	0.01	100	50000
2051-10-01	GARW	north	InferFullRank	50000		500	50000	19886.3359375	317.37237548828125		19568.962890625	True	0.01291379053145647	0.01	100	50000
2052-04-01	GARW	north	InferFullRank	50000		500	50000	712609.9375	486.7653503417969		712123.1875	True	0.013774143531918526	0.01	100	50000
2052-10-01	GARW	north	InferFullRank	50000		500	50000	383915.5625				False		0.01	100	50000
2053-04-01	GARW	north	InferFullRank	50000		500	50000	138783.453125	717.7199096679688		138065.734375	True	0.012805975042283535	0.01	100	50000
2053-10-01	GARW	north	InferFullRank	50000		500	50000	195849.21875	2111.031005859375		193738.1875	True	0.0037357104010879993	0.01	100	50000
2054-04-01	GARW	north	InferFullRank	50000		500	50000	259212.421875	952.6180419921875		258259.796875	True	0.01844649948179722	0.01	100	50000
2054-10-01	GARW	north	InferFullRank	50000		500	50000	300393.0625				False		0.01	100	50000
2026-04-01	GARW	south	InferFullRank	50000		500	50000	3366.17919921875				False		0.01	100	50000
2026-10-01	GARW	south	InferFullRank	50000		500	50000	95538.796875	268.66326904296875	252.2018280029297	95270.1328125	True	0.005505016073584557	0.01	100	50000
2027-04-01	GARW	south	InferFullRank	50000		500	50000	126049.3125	432.11981201171875		125617.1953125	True	0.1554693877696991	0.01	100	50000
2027-10-01	GARW	south	InferFullRank	50000		500	50000	1098761.625	665.3238525390625		1098096.25	True	0.17855089902877808	0.01	100	50000
2028-04-01	GARW	south	InferFullRank	50000		500	50000	494369.84375	480.85235595703125		493889.0	True	0.03243204206228256	0.01	100	50000
2029-04-01	GARW	south	InferFullRank	50000		500	50000	45081.703125	788.4605712890625		44293.2421875	True	0.01677311398088932	0.01	100	50000
2029-10-01	GARW	south	InferFullRank	50000		500	50000	627746.0	1092.1302490234375		626653.875	True	0.01232603657990694	0.01	100	50000
2030-04-01	GARW	south	InferFullRank	50000		500	50000	162550.375	1210.8524169921875		161339.515625	True	0.006549522280693054	0.01	100	50000
2031-10-01	GARW	south	InferFullRank	50000		500	50000	1044461.5				False		0.01	100	50000
2032-04-01	GARW	south	InferFullRank	50000		500	50000	174463.375	399.05328369140625		174064.328125	True	0.028684034943580627	0.01	100	50000
2033-04-01	GARW	south	InferFullRank	50000		500	50000	16954.763671875	1179.5841064453125		15775.1796875	True	0.0011501181870698929	0.01	100	50000
2033-10-01	GARW	south	InferFullRank	50000		500	50000	268790.09375	770.8609619140625		268019.21875	True	0.01053712796419859	0.01	100	50000
2034-04-01	GARW	south	InferFullRank	50000		500	50000	165710.0	765.822265625		164944.171875	True	0.018316850066184998	0.01	100	50000
2034-10-01	GARW	south	InferFullRank	50000		500	50000	78433.3203125	412.15960693359375		78021.1640625	True	0.04673168063163757	0.01	100	50000
2035-04-01	GARW	south	InferFullRank	50000		500	50000	23356.69921875				False		0.01	100	50000
2035-10-01	GARW	south	InferFullRank	50000		500	50000	129908.203125	426.0177307128906	385.63336181640625	129482.1875	True	0.01271310355514288	0.01	100	50000
2036-04-01	GARW	south	InferFullRank	50000		500	50000	156633.953125	639.35888671875		155994.59375	True	0.00757502531632781	0.01	100	50000
2036-10-01	GARW	south	InferFullRank	50000		500	50000	792516.875	1040.1561279296875		791476.75	True	0.005280076060444117	0.01	100	50000
2041-10-01	GARW	south	InferFullRank	50000		500	50000	435815.6875	2777.017578125		433038.65625	True	0.0008631041273474693	0.01	100	50000
2042-04-01	GARW	south	InferFullRank	50000		500	50000	456801.375	699.8341674804688		456101.53125	True	0.013745786622166634	0.01	100	50000
2043-10-01	GARW	south	InferFullRank	50000		500	50000	1284601.625	476.03289794921875		1284125.625	True	0.4963924288749695	0.01	100	50000
2044-04-01	GARW	south	InferFullRank	50000		500	50000	435816.875				False		0.01	100	50000
2045-10-01	GARW	south	InferFullRank	50000		500	50000	91960.71875	223.80580139160156		91736.9140625	True	0.03336544707417488	0.01	100	50000
2046-10-01	GARW	south	InferFullRank	50000		500	50000	156233.578125	418.967529296875	407.9756164550781	155814.609375	True	0.01693294756114483	0.01	100	50000
2047-04-01	GARW	south	InferFullRank	50000		500	50000	162604.65625	609.9151611328125		161994.734375	True	0.35620343685150146	0.01	100	50000
2047-10-01	GARW	south	InferFullRank	50000		500	50000	356356.3125	477.7494812011719		355878.5625	True	0.07578039169311523	0.01	100	50000
2048-04-01	GARW	south	InferFullRank	50000		500	50000	179738.46875	377.35052490234375		179361.125	True	0.001307163038291037	0.01	100	50000
2049-10-01	GARW	south	InferFullRank	50000		500	50000	291158.125	988.3268432617188		290169.8125	True	0.0034253199119120836	0.01	100	50000
2050-04-01	GARW	south	InferFullRank	50000		500	50000	158965.75	941.469482421875		158024.28125	True	0.004441280383616686	0.01	100	50000
2050-10-01	GARW	south	InferFullRank	50000		500	50000	57909.1015625	387.5148010253906		57521.5859375	True	0.02725766971707344	0.01	100	50000
2051-04-01	GARW	south	InferFullRank	50000		500	50000	59354.515625	1468.421142578125		57886.09375	False		0.01	100	50000
2051-10-01	GARW	south	InferFullRank	50000		500	50000	934262.0	4571.30859375		929690.6875	True	0.0012960536405444145	0.01	100	50000
2052-04-01	GARW	south	InferFullRank	50000		500	50000	406951.625	1467.1690673828125		405484.46875	True	0.10069772601127625	0.01	100	50000
2052-10-01	GARW	south	InferFullRank	50000		500	50000	739352.125	898.2855224609375	873.6362915039062	738453.8125	True	0.01009736955165863	0.01	100	50000
2053-04-01	GARW	south	InferFullRank	50000		500	50000	351520.25	969.1920166015625		350551.0625	True	0.012534474022686481	0.01	100	50000
2053-10-01	GARW	south	InferFullRank	50000		500	50000	487474.625	824.087646484375		486650.53125	True	0.010720476508140564	0.01	100	50000
2054-04-01	GARW	south	InferFullRank	50000		500	50000	181350.34375	1114.2576904296875		180236.09375	True	0.0059618232771754265	0.01	100	50000
2026-04-01	GARW	tropics	InferFullRank	50000		500	50000	110391.78125	706.246826171875	691.18603515625	109685.53125	True	0.0007628221646882594	0.01	100	50000
2027-04-01	GARW	tropics	InferFullRank	50000		500	50000	113667.65625				False		0.01	100	50000
2027-10-01	GARW	tropics	InferFullRank	50000		500	50000	328415.96875	924.7264404296875		327491.25	True	0.006235508713871241	0.01	100	50000
2028-10-01	GARW	tropics	InferFullRank	50000		500	50000	447948.5	986.239990234375		446962.25	True	0.007730281446129084	0.01	100	50000
2030-04-01	GARW	tropics	InferFullRank	50000		500	50000	246987.25	855.682373046875		246131.5625	True	0.0022493507713079453	0.01	100	50000
2031-10-01	GARW	tropics	InferFullRank	50000		500	50000	462311.5				False		0.01	100	50000
2032-10-01	GARW	tropics	InferFullRank	50000		500	50000	209545.125	781.9874267578125		208763.140625	True	0.0038992916233837605	0.01	100	50000
2033-04-01	GARW	tropics	InferFullRank	50000		500	50000	197964.125	1015.0849609375		196949.046875	True	0.0012228317791596055	0.01	100	50000
2033-10-01	GARW	tropics	InferFullRank	50000		500	50000	55418.6640625	1040.3505859375		54378.3125	True	0.012508457526564598	0.01	100	50000
2034-04-01	GARW	tropics	InferFullRank	50000		500	50000	120353.8515625	827.632568359375		119526.21875	True	0.0002988796913996339	0.01	100	50000
2034-10-01	GARW	tropics	InferFullRank	50000		500	50000	160869.640625	506.29248046875		160363.34375	True	0.01867387443780899	0.01	100	50000
2035-04-01	GARW	tropics	InferFullRank	50000		500	50000	100206.15625	498.78411865234375		99707.375	True	0.01923850178718567	0.01	100	50000
2035-10-01	GARW	tropics	InferFullRank	50000		500	50000	84084.4140625	512.2210693359375		83572.1953125	True	0.028346074745059013	0.01	100	50000
2036-04-01	GARW	tropics	InferFullRank	50000		500	50000	356432.875	596.5096435546875		355836.375	True	0.07006669789552689	0.01	100	50000
2041-10-01	GARW	tropics	InferFullRank	50000		500	50000	305613.75	874.7232666015625	867.8145751953125	304739.03125	True	0.005035408306866884	0.01	100	50000
2042-10-01	GARW	tropics	InferFullRank	50000		500	50000	66502.765625	2141.923828125		64360.84375	True	0.006537498906254768	0.01	100	50000
2043-04-01	GARW	tropics	InferFullRank	50000		500	50000	1169314.75				False		0.01	100	50000
2043-10-01	GARW	tropics	InferFullRank	50000		500	50000	424585.625	355.88031005859375		424229.75	True	0.03167858347296715	0.01	100	50000
2045-04-01	GARW	tropics	InferFullRank	50000		500	50000	73200.421875	1669.478515625		71530.9453125	True	0.005568490829318762	0.01	100	50000
2045-10-01	GARW	tropics	InferFullRank	50000		500	50000	233481.484375	981.57568359375		232499.90625	True	0.008041827008128166	0.01	100	50000
2047-10-01	GARW	tropics	InferFullRank	50000		500	50000	94932.453125	492.4115295410156		94440.0390625	True	0.016693586483597755	0.01	100	50000
2048-04-01	GARW	tropics	InferFullRank	50000		500	50000	248960.265625	440.7293701171875		248519.53125	True	0.021445265039801598	0.01	100	50000
2048-10-01	GARW	tropics	InferFullRank	50000		500	50000	205726.46875	875.6630249023438		204850.8125	True	0.0236112792044878	0.01	100	50000
2049-04-01	GARW	tropics	InferFullRank	50000		500	50000	83225.2734375	920.2265625		82305.046875	True	0.0015142621705308557	0.01	100	50000
2049-10-01	GARW	tropics	InferFullRank	50000		500	50000	236275.5	1061.5467529296875		235213.953125	True	0.0013900083722546697	0.01	100	50000
2050-04-01	GARW	tropics	InferFullRank	50000		500	50000	172452.75	1083.18603515625		171369.5625	True	0.00796744879335165	0.01	100	50000
2050-10-01	GARW	tropics	InferFullRank	50000		500	50000	176256.453125	557.7191772460938		175698.734375	True	0.05955878645181656	0.01	100	50000
2051-04-01	GARW	tropics	InferFullRank	50000		500	50000	291412.5	532.7125244140625		290879.78125	True	0.01934465765953064	0.01	100	50000
2052-04-01	GARW	tropics	InferFullRank	50000		500	50000	242883.03125	581.9990234375		242301.03125	True	0.2873794138431549	0.01	100	50000
2052-10-01	GARW	tropics	InferFullRank	50000		500	50000	647026.9375	967.1179809570312		646059.8125	True	0.08822116255760193	0.01	100	50000
2053-04-01	GARW	tropics	InferFullRank	50000		500	50000	503994.5625	1108.871337890625	1089.277099609375	502885.6875	True	0.0010381253669038415	0.01	100	50000
2053-10-01	GARW	tropics	InferFullRank	50000		500	50000	317459.1875	1012.197265625		316447.0	True	0.001982813933864236	0.01	100	50000
2054-04-01	GARW	tropics	InferFullRank	50000		500	50000	77574.2109375	883.3515625		76690.859375	True	0.010182795114815235	0.01	100	50000
2054-10-01	GARW	tropics	InferFullRank	50000		500	50000	376159.9375	493.35980224609375		375666.5625	True	0.009459932334721088	0.01	100	50000
