batch,config,run,site_class,statistic,min_origin_progeny,k,n_total,n_within_k,n_null_total,n_null_within_k
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,2,780,140,5000,1330
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,3,780,249,5000,1866
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,4,780,328,5000,2292
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,5,780,385,5000,2573
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,6,780,443,5000,2858
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,7,780,482,5000,3089
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,1,8,780,516,5000,3275
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,1,69,7,5000,402
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,2,69,13,5000,633
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,3,69,19,5000,951
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,4,69,23,5000,1280
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,5,69,26,5000,1522
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,6,69,30,5000,1822
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,7,69,34,5000,2074
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,1,8,69,41,5000,2326
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,1,429,8,5000,377
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,2,429,35,5000,598
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,3,429,66,5000,922
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,4,429,93,5000,1212
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,5,429,120,5000,1490
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,6,429,153,5000,1777
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,7,429,179,5000,2040
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,1,8,429,203,5000,2272
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,1,31,5,5000,210
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,2,31,5,5000,387
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,3,31,12,5000,631
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,4,31,14,5000,829
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,5,31,14,5000,1024
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,6,31,17,5000,1340
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,7,31,20,5000,1667
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,3,8,31,22,5000,2017
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,1,2,1,5000,350
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,2,2,1,5000,625
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,3,2,1,5000,964
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,4,2,1,5000,1251
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,5,2,1,5000,1469
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,6,2,1,5000,1792
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,7,2,1,5000,2055
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,3,8,2,1,5000,2332
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,1,31,7,5000,755
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,2,31,8,5000,1208
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,3,31,16,5000,1721
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,4,31,19,5000,2052
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,5,31,19,5000,2342
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,6,31,21,5000,2699
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,7,31,23,5000,2968
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,min,3,8,31,25,5000,3195
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,1,2,1,5000,365
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,2,2,1,5000,643
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,3,2,1,5000,953
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,4,2,1,5000,1259
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,5,2,1,5000,1520
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,6,2,1,5000,1814
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,7,2,1,5000,2084
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,min,3,8,2,1,5000,2347
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,1,18,2,5000,334
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,2,18,2,5000,615
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,3,18,6,5000,952
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,4,18,8,5000,1221
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,5,18,8,5000,1474
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,6,18,9,5000,1774
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,7,18,11,5000,2063
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,two_origins,3,8,18,12,5000,2309
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,1,2,1,5000,340
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,2,2,1,5000,635
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,3,2,1,5000,961
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,4,2,1,5000,1254
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,5,2,1,5000,1515
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,6,2,1,5000,1820
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,7,2,1,5000,2071
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,two_origins,3,8,2,1,5000,2296
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,mean,1,1,215,14,5000,107
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,mean,1,2,215,23,5000,183
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,mean,1,3,215,41,5000,291
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,mean,1,4,215,60,5000,426
