config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,8-15,8,0.0004870920603994155,0.00012497656689370744,2053,16003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,16-31,16,0.0,0.0,549,4360
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,0,0,1.0,0.9792944785276073,168,1304
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,1,1,0.801762114537445,0.7122260668973471,227,1734
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,2-3,2,0.5007320644216691,0.5056179775280899,683,4450
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,4-7,4,0.046142754145638065,0.05035615354174911,1387,10108
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,8-15,8,0.000974184120798831,0.0006248828344685371,2053,16003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,16-31,16,0.0,0.0,549,4360
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,0,0,1.0,0.9570552147239264,168,1304
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,1,1,0.31718061674008813,0.19607843137254902,227,1734
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,2-3,2,0.02635431918008785,0.022247191011235956,683,4450
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,4-7,4,0.0,0.0003957261574990107,1387,10108
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,8-15,8,0.0004870920603994155,6.248828344685372e-05,2053,16003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,16-31,16,0.0,0.0,549,4360
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,0,0,0.9508928571428571,0.9339019189765458,224,1876
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,1,1,0.1452991452991453,0.16605359957961113,234,1903
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,2-3,2,0.018867924528301886,0.016126601356443105,742,6635
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,4-7,4,0.00468384074941452,0.0020798668885191347,1281,12020
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,8-15,8,0.0006447453255963894,0.00020406775049316373,1551,14701
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,16-31,16,0.0,0.0,95,866
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,0,0,0.9955357142857143,0.9291044776119403,224,1876
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,1,1,0.7435897435897436,0.36626379400945874,234,1903
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,2-3,2,0.16172506738544473,0.12750565184626977,742,6635
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,4-7,4,0.00312256049960968,0.0034941763727121466,1281,12020
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,8-15,8,0.0006447453255963894,0.000272090333990885,1551,14701
