config,run,site_class,min_progeny,x,cumulative_fraction,n_substitutions
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,3,0.9108910891089109,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,4,0.9801980198019802,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,5,0.995049504950495,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,6,0.995049504950495,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,7,1.0,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,2,1,0.8157894736842105,684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,2,2,0.966374269005848,684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,2,3,0.9912280701754386,684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,2,4,0.9941520467836257,684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,2,5,1.0,684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,5,1,0.78125,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,5,2,0.9765625,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,5,3,1.0,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,5,1,0.9243697478991597,238
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,5,2,0.9957983193277311,238
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,5,3,1.0,238
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,10,1,0.8604651162790697,86
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,10,2,1.0,86
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,10,1,0.9693877551020408,98
