batch,config,run,pivot_date,model,location,correlation,mae,mse,rmse,r2,n_seqs,n_cases,seq_entropy,case_entropy,seq_entropy_norm,case_entropy_norm
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2029-04-01,FGA,north,-0.7548158760063756,0.1683057392817623,0.052417761126074,0.2289492544780917,-90.61464476617516,1413,2943066,4.972659994148058,5.009027261477277,0.8723291956448647,0.8744931605128683
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2029-10-01,FGA,north,0.1576381612054758,0.0411691081311385,0.0054472500547515,0.0738054879717731,-6.884979314897641,1249,2577988,4.779250829576952,4.816013133105412,0.8604148672738375,0.8407960919339744
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2030-04-01,FGA,north,0.645359536238132,0.0639825677663362,0.0087487922755307,0.0935349788877442,-15.551328329662962,682,1458832,4.54041662805679,4.669161956646842,0.8316647125969685,0.8151583098412465
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2030-10-01,FGA,north,0.9963168096290276,0.0033110641371246,1.25729843335665e-05,0.0035458404269744,0.941934612624876,461,1070919,5.16155294423709,5.250882573933493,0.9241875739668092,0.9167170905368164
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2031-04-01,FGA,north,0.5179964030356168,0.1161901626932983,0.0179311127457298,0.1339071049113145,-11.604027990405417,5733,12846109,4.5082330692643975,4.510329198356506,0.7908570728179768,0.7874287420949276
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2031-10-01,FGA,north,0.9296275112394138,0.0083033691682017,0.0003351908906839,0.0183082192111609,0.8465620258334984,5568,12424109,4.34203583287062,4.319008658515553,0.8001887171295972,0.757662368531103
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2033-04-01,FGA,north,0.9716669084267832,0.0119191869340589,0.0001993888953789,0.0141205132831266,0.8368154166478765,5056,11148156,4.225289151790308,4.240535044093807,0.8110810972352718,0.7438961297316624
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2033-10-01,FGA,north,0.0583369997731898,0.1266639604110419,0.0251543266053557,0.1586011557503781,-13.845130010014817,5191,11363082,4.329292269162493,4.311520249119757,0.8373994338321545,0.7563487138367176
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2036-04-01,FGA,north,0.2160567337380873,0.1206054541328612,0.0196748371332,0.1402670208324109,-30.868868209770117,2794,6192173,4.253013976516532,4.309410361967652,0.7574770726530288,0.7523516424768996
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2036-10-01,FGA,north,0.8688557906297183,0.192102952012497,0.0372400914114185,0.1929769193748789,-31.587175767495324,3316,7115736,4.526465947078449,4.520714439544946,0.8291093768124307,0.7892418331234818
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2037-04-01,FGA,north,-0.9683248102754788,0.2696371414972754,0.0728797622943232,0.2699625201658987,-1979.414411437372,638,1615354,3.138098269202493,3.28531251155841,0.675752680738101,0.5735611270476245
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2038-04-01,FGA,north,0.896214646898185,0.0187034423657144,0.0004401390061401,0.0209794901306038,0.6525229478539283,4517,9974529,4.109938907783012,4.146609216979838,0.7574158456277992,0.723929260169178
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2038-10-01,FGA,north,0.69206955492342,0.2207413503956531,0.0497056413466584,0.222947620186129,-30.73887450719364,4777,10443538,4.300941019674423,4.308393918921868,0.8081546655630738,0.7558002771629748
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2039-04-01,FGA,north,,,,,,429,885820,3.9394246278311376,4.233860640762738,0.7743397349046682,0.7427252721029379
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2040-04-01,FGA,north,0.7450873226243756,0.1245313988859469,0.0172595975143365,0.131375787397589,-31.42772781714024,3155,6713877,4.314465502715377,4.267903039870311,0.7568653851359943,0.7486971621308662
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2040-10-01,FGA,north,0.4509410808915665,0.2054904521347129,0.0430457335875902,0.207474657699658,-48.532214711125945,3549,7792307,4.484345279068435,4.503413101418649,0.8165450168478507,0.7900115296521734
