batch,config,run,method_x,method_y,nid
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,10,variant_tsne,variant_phylo,0.27950660559983587
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,15,variant_ag,variant_tsne,0.2548248750329334
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,15,variant_ag,variant_phylo,0.3163213540551634
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,15,variant_tsne,variant_phylo,0.2671208962378261
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,18,variant_ag,variant_tsne,0.19690399896414923
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,17,variant_ag,variant_tsne,0.178626704084082
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,17,variant_ag,variant_phylo,0.3158947694526746
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,17,variant_tsne,variant_phylo,0.2812807571708883
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,19,variant_ag,variant_tsne,0.27470366260303203
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,19,variant_ag,variant_phylo,0.28706291743479184
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,19,variant_tsne,variant_phylo,0.23246942777579604
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,23,variant_ag,variant_tsne,0.20044428925677316
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,23,variant_ag,variant_phylo,0.32078918539689527
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,23,variant_tsne,variant_phylo,0.25048629535610933
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,20,variant_ag,variant_tsne,0.225699833111493
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,20,variant_ag,variant_phylo,0.3018633818796449
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,20,variant_tsne,variant_phylo,0.26223049259332754
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,2,variant_ag,variant_tsne,0.21377534970897727
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,2,variant_ag,variant_phylo,0.31392935206444583
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,2,variant_tsne,variant_phylo,0.26552632789041297
