config,run,min_progeny,is_epitope,min_background_distance_aa,min_birthtime_gap_years,closest_pair_birthtime_gap_years
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,1.0265000000000022,1.0265000000000022
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,0.8848000000000003,0.8848000000000003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,18,24.3367,24.3367
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.8016000000000005,0.8016000000000005
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,1.4395999999999987,4.761099999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,1.5737999999999985,1.5737999999999985
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,0.21129999999999782,0.21129999999999782
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,19,25.1162,25.1162
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,0.050200000000000244,1.3267999999999995
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,4,1.8296000000000001,1.8296000000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,20,19.1281,19.1281
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,0.5552999999999999,0.5552999999999999
