strain	date	country
2204943a	7.0201	north
168daa3a	7.0339	north
5a1ac8d2	7.0151	north
740ce995	7.0376	north
5f1d7687	7.0431	north
767bef82	7.0263	north
45e9e513	7.0358	north
4d3f772	7.0406	north
360ba46c	7.0344	north
28f3e6b8	7.0461	north
5a209b49	7.0423	north
1a2bdf92	7.0299	north
1cef289f	7.0453	north
1ab603d4	7.0337	north
343addf1	7.0275	north
2d169841	7.0214	north
3ddb5306	7.0432	north
607c79d4	7.0547	north
2b3163d4	7.0377	north
5e45457a	7.0264	north
5e0987e9	7.0545	north
14d575b	7.0471	north
43dcd7ac	6.9977	north
4e4fa663	7.0504	north
55dd507f	7.0589	north
27571428	7.044	north
3a63da35	7.0627	north
56c496ce	7.0438	north
7b268b58	7.0188	north
3ea75532	7.0623	north
1e4c6843	7.054	north
2512d7af	7.0303	north
4e09b85f	7.0524	north
3b3543d0	7.062	north
7d1ba8f2	7.0572	north
722b381b	7.0516	north
77e6b246	7.0687	north
7289ff7a	7.0592	north
6100711f	7.0593	north
1471bb00	7.0581	north
7b8ecdc	7.061	north
239b58de	7.0741	north
71d64907	7.0651	north
a33f046	7.0703	north
209ec0bd	7.0739	north
1cbcd9be	7.0707	north
4f4a6623	7.0698	north
53ef8dbd	7.0767	north
6bf73926	7.0763	north
558dea73	7.0589	north
59e6ebb1	7.0774	north
549c6dfb	7.0601	north
a0e74a9	7.0511	north
69b32a63	7.0398	north
8fab16f	7.0868	north
213f90d2	7.083	north
2b3df74	7.0691	north
7bb2e337	7.077	north
4a7035db	7.0692	north
20bb5b69	7.0758	north
3f6aee0	7.0852	north
4b286291	7.0732	north
28d9acf5	7.047	north
697b79b5	7.0833	north
48a0ac83	7.0773	north
864f1c4	7.0323	north
6e0ee810	7.0863	north
afa2be3	7.0989	north
62f0658	7.1004	north
35b37ec7	7.1031	north
2b0910e2	7.0978	north
2c8df602	7.1023	north
24c98499	7.1032	north
d4178de	7.1038	north
15cbb76d	7.0999	north
1c52f24f	7.1015	north
19a9e744	7.0949	north
46786b8c	7.0855	north
6b060826	7.1117	north
56735c94	7.1071	north
9bf6f4d	7.1061	north
4a7bb97a	7.0469	north
6fd49ebc	7.1117	north
5e2d1b0a	7.1097	north
29cfc778	7.1126	north
4979e14	7.1216	north
71e7c7d5	7.0984	north
423eeec9	7.1231	north
183dcc60	7.1135	north
2c34335c	7.1307	north
24b93fd7	7.0845	north
bb915f5	7.1273	north
33ebc782	7.0673	north
7b40aec6	7.1377	north
3eaf7ad1	7.1434	north
3af0da8b	7.1417	north
3bd033ac	7.1433	north
2a1c000	7.1438	north
